observation_id,case_id,brand_public_alias,metric_name,metric_value,metric_unit,period_day,baseline_value,final_value,comparison_baseline,source_url,evidence_note
obs_qbedding_accc_initial,deeplumen_home_living_qbedding_2026,Qbedding,accc_score_initial,55,score_0_100,0,,,pre_deployment,https://www.deeplumen.com/industries/home-living/,Public page states initial ACCC score was 55.
obs_qbedding_accc_final,deeplumen_home_living_qbedding_2026,Qbedding,accc_score_final,93,score_0_100,16,55,93,pre_deployment,https://www.deeplumen.com/industries/home-living/,Public page states ACCC score reached 93 by day 16.
obs_qbedding_ai_visits_final,deeplumen_home_living_qbedding_2026,Qbedding,ai_realtime_visits_per_day,125,visits_per_day,16,0,125,pre_deployment,https://www.deeplumen.com/industries/home-living/,Public page states AI real-time visits grew from 0 to an average of 125/day.
obs_nullport_ai_sessions_lift,deeplumen_electronics_nullport_2026,Nullport,ai_attributed_sessions_lift,38.4,percent,30,,,matched_control_group,https://www.deeplumen.com/industries/electronics/,Public page states AI-attributed sessions stabilized 38.4% above matched control.
obs_nullport_token_cost_reduction,deeplumen_electronics_nullport_2026,Nullport,average_token_cost_per_pdp_reduction,79.7,percent,30,,,pre_optimization,https://www.deeplumen.com/industries/electronics/,Public page states average token cost per PDP was down 79.7%.
obs_nullport_ai_visibility_score,deeplumen_electronics_nullport_2026,Nullport,ai_visibility_score_final,92.1,score_0_100,30,,92.1,,https://www.deeplumen.com/industries/electronics/,Public page states AI Visibility Score reached 92.1/100.
obs_nullport_cited_answers_subset_share,deeplumen_electronics_nullport_2026,Nullport,chatgpt_cited_answers_subset_share,41,percent,14,,,usb_c_dock_for_mac_query_subset,https://www.deeplumen.com/industries/electronics/,Public page states 41% of ChatGPT cited answers in the subset referenced a Nullport page.
obs_vermille_ai_traffic_day30,deeplumen_health_beauty_vermille_2026,Vermille,ai_channel_traffic_lift_vs_control,2.8,x,30,1,2.8,matched_control,https://www.deeplumen.com/industries/health-beauty/,Public page states AI-channel traffic ran 2.8x the matched control by day 30.
obs_vermille_ai_traffic_day90,deeplumen_health_beauty_vermille_2026,Vermille,ai_channel_traffic_lift_vs_control,4.2,x,90,1,4.2,matched_control,https://www.deeplumen.com/industries/health-beauty/,Public page states AI-channel traffic stabilized at 4.2x control by day 90.
obs_vermille_ai_visibility_score,deeplumen_health_beauty_vermille_2026,Vermille,ai_visibility_score_final,84.6,score_0_100,90,,84.6,,https://www.deeplumen.com/industries/health-beauty/,Public page states AI Visibility Score reached 84.6/100.
obs_atelier_ai_sessions_lift,deeplumen_fashion_apparel_atelier_vauclair_2026,Atelier Vauclair,ai_sessions_lift,51.2,percent,,,,pre_deployment_or_control_not_publicly_specified,https://www.deeplumen.com/industries/fashion-apparel/,Public meta description states AI sessions lifted 51.2%.
obs_atelier_ai_retrievals_month_end,deeplumen_fashion_apparel_atelier_vauclair_2026,Atelier Vauclair,ai_retrievals_month_end_baseline,528,retrievals_per_day,30,,528,month_end_baseline,https://www.deeplumen.com/industries/fashion-apparel/,Public related case card states 528/day AI retrievals at month-end baseline.
obs_magarri_ai_citations_lift,deeplumen_massage_magarri_2026,Magarri,ai_citations_lift,268,percent,,,,pre_deployment,https://www.deeplumen.com/blog/magarri-case-study/,Public meta description states AI citations lifted by 268%.
obs_magarri_chatgpt_head_to_head_presence,deeplumen_massage_magarri_2026,Magarri,chatgpt_head_to_head_presence,35,percent,,0,35,legacy_brands_earthlite_master_massage,https://www.deeplumen.com/blog/magarri-case-study/,Public title and meta description state ChatGPT comparison presence moved from 0% to 35%.
obs_looktech_ai_citations_lift,deeplumen_smart_glasses_looktech_2026,Looktech,ai_citations_lift,210,percent,,,,pre_deployment,https://www.deeplumen.com/blog/looktech-case-study/,Public meta description states AI citations lifted by 210%.
obs_looktech_chatgpt_sov_multiplier,deeplumen_smart_glasses_looktech_2026,Looktech,chatgpt_share_of_voice_lift,3,x,,1,3,ray_ban_meta_and_other_incumbents,https://www.deeplumen.com/blog/looktech-case-study/,Public title and meta description state ChatGPT share of voice tripled.
obs_1988_coffee_ai_citations_lift,deeplumen_coffee_1988_estate_2026,1988 Coffee Estate,ai_citations_lift,186,percent,,,,pre_deployment,https://www.deeplumen.com/blog/1988-coffee-estate-case-study/,Public meta description states AI citations lifted by 186%.
obs_1988_coffee_non_branded_presence_lift,deeplumen_coffee_1988_estate_2026,1988 Coffee Estate,non_branded_brand_presence_lift,320,percent,,,,pre_deployment,https://www.deeplumen.com/blog/1988-coffee-estate-case-study/,Public meta description states non-branded brand presence lifted by 320%.
